ｉ１,i1
ｉ２,i2
ｉ３,i3
ｉ４,i4
ｉ５,i5
ｉ６,i6
ｉｐ１,ip1
ｉｐ２,ip2
ｉｐ３,ip3
ｉｐ４,ip4
ｉｐ５,ip5
ｉｐ６,ip6
ｉｔ１,it1
ｉｔ２,it2
ｉｔ３,it3
ｉｔ４,it4
ｉｔ５,it5
ｉｔ６,it6
ｉｋ１,ik1
ｉｋ２,ik2
ｉｋ３,ik3
ｉｋ４,ik4
ｉｋ５,ik5
ｉｋ６,ik6
ｉｍ１,im1
ｉｍ２,im2
ｉｍ３,im3
ｉｍ４,im4
ｉｍ５,im5
ｉｍ６,im6
ｉｎ１,in1
ｉｎ２,in2
ｉｎ３,in3
ｉｎ４,in4
ｉｎ５,in5
ｉｎ６,in6
ｉｎｇ１,ing1
ｉｎｇ２,ing2
ｉｎｇ３,ing3
ｉｎｇ４,ing4
ｉｎｇ５,ing5
ｉｎｇ６,ing6
ｉｕ１,iu1
ｉｕ２,iu2
ｉｕ３,iu3
ｉｕ４,iu4
ｉｕ５,iu5
ｉｕ６,iu6
ｙｕ１,yu1
ｙｕ２,yu2
ｙｕ３,yu3
ｙｕ４,yu4
ｙｕ５,yu5
ｙｕ６,yu6
ｙｕｔ１,yut1
ｙｕｔ２,yut2
ｙｕｔ３,yut3
ｙｕｔ４,yut4
ｙｕｔ５,yut5
ｙｕｔ６,yut6
ｙｕｎ１,yun1
ｙｕｎ２,yun2
ｙｕｎ３,yun3
ｙｕｎ４,yun4
ｙｕｎ５,yun5
ｙｕｎ６,yun6
ｕ１,u1
ｕ２,u2
ｕ３,u3
ｕ４,u4
ｕ５,u5
ｕ６,u6
ｕｐ１,up1
ｕｐ２,up2
ｕｐ３,up3
ｕｐ４,up4
ｕｐ５,up5
ｕｐ６,up6
ｕｔ１,ut1
ｕｔ２,ut2
ｕｔ３,ut3
ｕｔ４,ut4
ｕｔ５,ut5
ｕｔ６,ut6
ｕｋ１,uk1
ｕｋ２,uk2
ｕｋ３,uk3
ｕｋ４,uk4
ｕｋ５,uk5
ｕｋ６,uk6
ｕｍ１,um1
ｕｍ２,um2
ｕｍ３,um3
ｕｍ４,um4
ｕｍ５,um5
ｕｍ６,um6
ｕｎ１,un1
ｕｎ２,un2
ｕｎ３,un3
ｕｎ４,un4
ｕｎ５,un5
ｕｎ６,un6
ｕｎｇ１,ung1
ｕｎｇ２,ung2
ｕｎｇ３,ung3
ｕｎｇ４,ung4
ｕｎｇ５,ung5
ｕｎｇ６,ung6
ｕｉ１,ui1
ｕｉ２,ui2
ｕｉ３,ui3
ｕｉ４,ui4
ｕｉ５,ui5
ｕｉ６,ui6
ｅ１,e1
ｅ２,e2
ｅ３,e3
ｅ４,e4
ｅ５,e5
ｅ６,e6
ｅｐ１,ep1
ｅｐ２,ep2
ｅｐ３,ep3
ｅｐ４,ep4
ｅｐ５,ep5
ｅｐ６,ep6
ｅｔ１,et1
ｅｔ２,et2
ｅｔ３,et3
ｅｔ４,et4
ｅｔ５,et5
ｅｔ６,et6
ｅｋ１,ek1
ｅｋ２,ek2
ｅｋ３,ek3
ｅｋ４,ek4
ｅｋ５,ek5
ｅｋ６,ek6
ｅｍ１,em1
ｅｍ２,em2
ｅｍ３,em3
ｅｍ４,em4
ｅｍ５,em5
ｅｍ６,em6
ｅｎ１,en1
ｅｎ２,en2
ｅｎ３,en3
ｅｎ４,en4
ｅｎ５,en5
ｅｎ６,en6
ｅｎｇ１,eng1
ｅｎｇ２,eng2
ｅｎｇ３,eng3
ｅｎｇ４,eng4
ｅｎｇ５,eng5
ｅｎｇ６,eng6
ｅｉ１,ei1
ｅｉ２,ei2
ｅｉ３,ei3
ｅｉ４,ei4
ｅｉ５,ei5
ｅｉ６,ei6
ｅｕ１,eu1
ｅｕ２,eu2
ｅｕ３,eu3
ｅｕ４,eu4
ｅｕ５,eu5
ｅｕ６,eu6
ｅｏｔ１,eot1
ｅｏｔ２,eot2
ｅｏｔ３,eot3
ｅｏｔ４,eot4
ｅｏｔ５,eot5
ｅｏｔ６,eot6
ｅｏｎ１,eon1
ｅｏｎ２,eon2
ｅｏｎ３,eon3
ｅｏｎ４,eon4
ｅｏｎ５,eon5
ｅｏｎ６,eon6
ｅｏｉ１,eoi1
ｅｏｉ２,eoi2
ｅｏｉ３,eoi3
ｅｏｉ４,eoi4
ｅｏｉ５,eoi5
ｅｏｉ６,eoi6
ｏｅ１,oe1
ｏｅ２,oe2
ｏｅ３,oe3
ｏｅ４,oe4
ｏｅ５,oe5
ｏｅ６,oe6
ｏｅｔ１,oet1
ｏｅｔ２,oet2
ｏｅｔ３,oet3
ｏｅｔ４,oet4
ｏｅｔ５,oet5
ｏｅｔ６,oet6
ｏｅｋ１,oek1
ｏｅｋ２,oek2
ｏｅｋ３,oek3
ｏｅｋ４,oek4
ｏｅｋ５,oek5
ｏｅｋ６,oek6
ｏｅｎｇ１,oeng1
ｏｅｎｇ２,oeng2
ｏｅｎｇ３,oeng3
ｏｅｎｇ４,oeng4
ｏｅｎｇ５,oeng5
ｏｅｎｇ６,oeng6
ｏ１,o1
ｏ２,o2
ｏ３,o3
ｏ４,o4
ｏ５,o5
ｏ６,o6
ｏｔ１,ot1
ｏｔ２,ot2
ｏｔ３,ot3
ｏｔ４,ot4
ｏｔ５,ot5
ｏｔ６,ot6
ｏｋ１,ok1
ｏｋ２,ok2
ｏｋ３,ok3
ｏｋ４,ok4
ｏｋ５,ok5
ｏｋ６,ok6
ｏｎ１,on1
ｏｎ２,on2
ｏｎ３,on3
ｏｎ４,on4
ｏｎ５,on5
ｏｎ６,on6
ｏｎｇ１,ong1
ｏｎｇ２,ong2
ｏｎｇ３,ong3
ｏｎｇ４,ong4
ｏｎｇ５,ong5
ｏｎｇ６,ong6
ｏｉ１,oi1
ｏｉ２,oi2
ｏｉ３,oi3
ｏｉ４,oi4
ｏｉ５,oi5
ｏｉ６,oi6
ｏｕ１,ou1
ｏｕ２,ou2
ｏｕ３,ou3
ｏｕ４,ou4
ｏｕ５,ou5
ｏｕ６,ou6
ａ１,a1
ａ２,a2
ａ３,a3
ａ４,a4
ａ５,a5
ａ６,a6
ａｐ１,ap1
