word,kept_reading,segmentation_suggested
㗇㗇霸霸,haa1 haa1 baa3 baa3,gaa5 gaa5 baa3 baa3
㗇人㗇物,haa1 jan4 haa1 mat6,gaa5 jan4 gaa5 mat6
㗇得就㗇,haa1 dak1 zau6 haa1,gaa5 dak1 zau6 gaa5
㗎咩,gaa3 me1,ga3 me1
一乘,jat1 sing6,jat1 sing4
一人行一步,jat1 jan4 haang4 jat1 bou6,jat1 jan4 hong6 jat1 bou6
一人計短二人計長,jat1 jan4 gai3 dyun2 ji6 jan4 gai3 coeng4,jat1 jan4 gai3 dyun2 ji6 jan4 gai3 zoeng6
一位,jat1 wai2,jat1 wai6
一個招牌砸落嚟都砸死幾件,jat1 go3 ziu1 paai4 zaak3 lok6 lai4 dou1 zaak3 sei2 gei2 gin6,jat1 go3 ziu1 paai4 zaap3 lok6 lai4 dou1 zaap3 sei2 gei2 gin6
一個酸梅兩個核,jat1 go3 syun1 mui4 loeng5 go3 wat6,jat1 go3 syun1 mui4 loeng5 go3 hat6
一兩下,jat1 loeng5 haa5,jat1 loeng5 haa6
一兩啤,jat1 loeng5 pe1,jat1 loeng5 pei4
一兩幀,jat1 loeng5 zing1,jat1 loeng5 zing3
一兩打,jat1 loeng5 daa1,jat1 loeng5 daa2
一兩朵,jat1 loeng5 doe2,jat1 loeng5 do2
一兩棵,jat1 loeng5 fo2,jat1 loeng5 po1
一兩泡,jat1 loeng5 paau1,jat1 loeng5 pou5
一兩疊,jat1 loeng5 daap6,jat1 loeng5 dip6
一兩疋,jat1 loeng5 pat1,jat1 loeng5 ngaa5
一兩種,jat1 loeng5 zung2,jat1 loeng5 zung3
一兩粒,jat1 loeng5 nap1,jat1 loeng5 lap1
一兩縷,jat1 loeng5 leoi5,jat1 loeng5 lau5
一兩行,jat1 loeng5 hong4,jat1 loeng5 hong6
一兩載,jat1 loeng5 zoi2,jat1 loeng5 zoi3
一兩間,jat1 loeng5 gaan1,jat1 loeng5 haan4
一兩頂,jat1 loeng5 deng2,jat1 loeng5 ding2
一分為二,jat1 fan1 wai4 ji6,jat1 fan1 wai6 ji6
一分錢一分貨,jat1 fan1 cin4 jat1 fan1 fo3,jat1 fan1 cin2 jat1 fan1 fo3
