ഒരു,oru,23546
ഞാന്,ñān,20415
നീ,nī,17045
ഞാൻ,ñān,13142
അത്,at,12943
എനിക്ക്,enikk,12240
നിങ്ങള്,niṅṅaḷ,11106
ഇത്,it,9257
എന്,en,6721
എന്റെ,enṟe,6716
ഇവിടെ,iviṭe,6595
നിനക്ക്,ninakk,5994
എന്നെ,enne,5946
തന്നെ,tanne,5699
പക്ഷെ,pakṣe,5697
അവര്,avar,5594
എന്താ,entā,5173
ഇല്ല,illa,4995
നിങ്ങളുടെ,niṅṅaḷuṭe,4977
അതെ,ate,4956
അവന്,avan,4836
എന്ന്,enn,4592
പിന്നെ,pinne,4529
നിന്നെ,ninne,4309
നമുക്ക്,namukk,4169
നിന്,nin,4165
ശരി,śari,4096
എന്ത്,ent,4085
ആണ്,āṇ,3987
നിന്റെ,ninṟe,3802
വളരെ,vaḷare,3763
നിങ്ങൾ,niṅṅaḷ,3659
നല്ല,nalla,3648
നമ്മള്,nammaḷ,3393
പക്ഷേ,pakṣē,3236
അവിടെ,aviṭe,3185
കൊണ്ട്,koṇṭ,3044
എല്ലാം,ellāṁ,2934
അല്ല,alla,2889
നമ്മുടെ,nammuṭe,2868
പോലെ,pōle,2868
പോയി,pōyi,2800
അവള്,avaḷ,2657
വേണ്ട,vēṇṭa,2657
നിന്ന്,ninn,2598
നന്ദി,nandi,2593
ഒന്നും,onnuṁ,2560
അയാള്,ayāḷ,2557
ഉണ്ട്,uṇṭ,2541
ഇനി,ini,2527
ഒന്ന്,onn,2497
എന്താണ്,entāṇ,2477
കാര്യം,kāryaṁ,2461
പറഞ്ഞു,paṟaññu,2459
നിങ്ങളെ,niṅṅaḷe,2375
പറഞ്ഞത്,paṟaññat,2325
വേണ്ടി,vēṇṭi,2311
അവനെ,avane,2266
കൂടെ,kūṭe,2233
പറയുന്നത്,paṟayunnat,2215
നിര്,nir,2206
എല്ലാ,ellā,2153
നില്,nil,2144
ഇപ്പോള്,ippōḷ,2127
വരൂ,varū,2112
നിന്നും,ninnuṁ,2089
നോക്ക്,nōkk,2071
അങ്ങനെ,aṅṅane,2058
കാരണം,kāraṇaṁ,2029
എന്തെങ്കിലും,enteṅkiluṁ,1883
അവരുടെ,avaruṭe,1881
വേണം,vēṇaṁ,1835
അവൻ,avan,1828
അവർ,avar,1798
എന്നോട്,ennōṭ,1793
വലിയ,valiya,1791
അദ്ദേഹം,addēhaṁ,1772
പേര്,pēr,1766
