char,prc_default,tw_reading,tw_std_set,common8105
㬊,huan4,huan3,huan3,Y
亳,bo2,bo4,bo4,Y
仡,ge1,yi4,qi4 yi4,Y
企,qi3,qi4,qi4,Y
伐,fa2,fa1,fa1,Y
似,shi4,si4,si4,Y
伽,ga1,qie2,jia1 qie2,Y
佁,yi3,ai3,ai3,Y
佝,gou1,kou4,kou4,Y
俵,biao4,biao3,biao3,Y
俾,bi3,bi4,bi4,Y
倏,shu1,shu4,shu4,Y
倬,zhuo1,zhuo2,zhuo2,Y
偲,cai1,si1,sai1 si1,Y
儳,chan2,chan4,chan4,Y
冼,xian3,sheng3,sheng3,Y
凸,tu1,tu2,gu3 tu2,Y
削,xue1,xue4,xiao1 xue4,Y
剖,pou1,pou3,pou3,Y
剟,duo1,duo2,duo2,Y
剽,piao1,piao4,piao4,Y
劁,qiao1,qiao2,qiao2,Y
劄,zha1,zha2,zha2,Y
匼,ke1,an3,an3,Y
卜,bo5,bu3,bu3,Y
危,wei1,wei2,wei2,Y
叔,shu1,shu2,shu2,Y
吒,zha1,zha4,zha4,Y
吡,bi3,bi4,bi4 pi3,Y
呀,ya5,ya1,xia1 ya1,Y
呔,dai1,tai5,tai5,Y
呷,ga1,xia2,xia2,Y
咄,duo1,duo4,duo4,Y
咋,za3,zha4,ze2 zha4,Y
哱,bo1,po4,po4,Y
哳,zha1,zha2,zha2,Y
哿,ge3,ke3,ke3,Y
啁,zhao1,zhou1,chao2 zhou1,Y
啜,chuai4,chuo4,chuo4,Y
喱,li2,li3,li3,Y
嗍,suo1,shuo4,shuo4,Y
嗑,ke1,he2,he2 ke4,Y
嗦,suo5,suo1,suo1,Y
嗯,n2,en5,en5,Y
嘌,piao4,piao1,piao1,Y
噢,o1,yu3,yu3,Y
噫,yi1,yi4,yi4,Y
嚄,huo1,huo4,huo4 o3,Y
囔,nang1,nang5,nang5,Y
囷,qun1,jun1,jun1,Y
圌,chuan2,chui2,chui2,Y
圩,wei2,yu2,yu2,Y
圾,ji1,ji2,ji2 se4,Y
坯,pi1,pei1,pei1,Y
坳,ao4,ao1,ao1,Y
垃,la1,le4,le4,Y
垸,yuan4,huan2,huan2,Y
垺,fu1,fu2,fu2,Y
埒,lie4,le4,le4,Y
堐,ya2,ai2,ai2,Y
堤,di1,ti2,ti2,Y
堲,ci2,ji2,ji2,Y
墐,jin4,jin3,jin3,Y
墼,ji1,ji2,ji2,Y
壑,he4,huo4,huo4,Y
夕,xi1,xi4,xi4,Y
妮,ni1,ni2,ni2,Y
姣,jiao1,jiao3,jiao3,Y
媞,shi4,ti2,ti2,Y
嫚,man1,man4,man4,Y
孅,qian1,xian1,xian1,Y
孖,ma1,zi1,zi1,Y
寂,ji4,ji2,ji2,Y
尢,you2,wang1,wang1,Y
岈,ya2,xia1,xia1,Y
峿,yu3,wu2,wu2,Y
崁,kan4,kan3,kan3,Y
崖,ya2,yai2,yai2,Y
崤,xiao2,yao2,yao2,Y
崴,wai3,wei1,wei1,Y
巍,wei1,wei2,wei2,Y
幺,yao1,ao1,ao1,Y
庋,gui3,ji3,ji3,Y
弛,chi2,shi3,shi3,Y
微,wei1,wei2,wei2,Y
恁,nen4,ren4,nin2 ren4,Y
