char,prc_default,tw_primary,tw_std_set
㐷,ma3,ma4,ma3 ma4
㳽,mi3,mi2,mi2 mi3
䉤,sou3,shu4,shu4 sou3
䌷,chou1,chou2,chou1 chou2
䙓,bai3,bei1,bai3 bei1
䩄,mian3,tian3,mian3 tian3
丧,sang4,sang1,sang1 sang4
乐,le4,yue4,lao4 le4 yao4 yue4
了,le5,liao3,le5 liao3
予,yu3,yu2,yu2 yu3
什,shen2,shi2,shen2 shi2
仔,zai3,zi1,zai3 zi1 zi3
们,men5,men2,men2 men5
伐,fa2,fa1,fa1
伺,ci4,si4,ci4 si4
佗,tuo2,tuo1,ta1 tuo1 tuo2
佛,fu2,fo2,bi4 fo2 fu2
佪,hui2,huai2,huai2
佻,tiao1,tiao2,tiao1 tiao2
侗,dong4,tong2,dong4 tong2
侻,tui4,tuo1,tui4 tuo1
俟,qi2,si4,qi2 si4
俩,lia3,liang3,lia3 liang3
倆,lia3,liang3,lia3 liang3
們,men5,men2,men2 men5
倒,dao4,dao3,dao3 dao4
倞,jing4,liang4,jing4 liang4
偈,ji4,jie2,ji4 jie2
偺,za2,zan2,za2 zan2
傀,gui1,kui3,gui1 kui3
傧,bin1,bin4,bin1 bin4
储,chu3,chu2,chu2
儐,bin1,bin4,bin1 bin4
儲,chu3,chu2,chu2
凸,tu1,tu2,gu3 tu2
凿,zao2,zuo4,zao2 zuo4
刹,sha1,cha4,cha4 sha1
刽,gui4,kuai4,kuai4
剌,la2,la4,la2 la4
剎,sha1,cha4,cha4 sha1
剖,pou1,pou3,pou3
剡,shan4,yan3,shan4 yan3
劊,gui4,kuai4,kuai4
劲,jin4,jing4,jin4 jing4
勁,jin4,jing4,jin4 jing4
勒,lei1,le4,le4 lei1
勦,chao1,jiao3,chao1 jiao3
匙,shi5,chi2,chi2 shi5
匱,gui4,kui4,gui4 kui4
占,zhan4,zhan1,zhan1 zhan4
卷,juan3,juan4,juan3 juan4 quan2
厕,ce4,ci4,ce4 ci4 si4
厦,sha4,xia4,sha4 xia4
叨,dao1,tao1,dao1 tao1
吓,xia4,he4,he4 xia4
吧,ba5,ba1,ba1 ba5
吭,keng1,hang2,hang2 keng1
吽,hong1,ou2,hong1 ou2
呗,bei5,bai4,bai4 bei5
呢,ne5,ni2,ne5 ni2
呱,gu1,wa1,gu1 gua1 wa1
咧,lie3,lie1,lie1 lie2 lie3
咯,ge1,luo4,ge1 lo5 luo4
咽,yan4,yan1,yan1 yan4 ye4
哄,hong3,hong1,hong1 hong3
哇,wa5,wa1,wa1 wa5
哕,hui4,yue1,hui4 yue1
哦,o2,e2,e2 o2
哿,ge3,ke3,ke3
唄,bei5,bai4,bai4 bei5
唧,ji1,ji2,ji1 ji2
唼,sha4,za1,qie4 sha4 za1
啊,a5,a1,a1 a5
啦,la5,la1,la1 la5
