亞,a1
腌,a1
阿,a1
鴉,a1
阿爸,a1 ba1
阿爸,a1 ba5
阿爸,a1 bah4
阿媽,a1 bbna2
阿母,a1 bbo2
阿母,a1 bbu2
阿伯,a1 beh4
阿婆,a1 bo5
阿不倒仔,a1 but4 do2 a2
阿罩霧,a1 da3 bbu7
亞東醫院,a1 dang1 bne7 ni7
亞東醫院,a1 dang1 bni7 ni7
阿爹,a1 dia1
阿丈,a1 dniu7
阿啄仔,a1 dok4 a2
亞東醫院,a1 dong1 bne7 ni7
亞東醫院,a1 dong1 bni7 ni7
阿猴,a1 gao5
阿妗,a1 gim7
阿公,a1 gong1
阿公店,a1 gong1 diam3
阿公店溪,a1 gong1 diam3 ke1
阿姑,a1 goo1
阿舅,a1 gu7
亞軍,a1 gun1
阿兄,a1 hnia1
阿姨,a1 i5
亞鉛,a1 ian5
亞鉛鉼,a1 ian5 pnia2
亞鉛線,a1 ian5 snua3
阿里不達,a1 li2 but4 dat8
阿里港,a1 li2 gang2
阿里關,a1 li2 guan1
阿里壟,a1 li2 long2
阿里山,a1 li2 san1
阿里山鄉,a1 li2 san1 hiong1
阿里山線,a1 li2 san1 snua3
阿蓮區,a1 lian1 ku1
阿嗹社,a1 lian1 sia7
阿娘,a1 lnia5
阿姆,a1 m2
鴉片,a1 pian3
鴉片仙,a1 pian3 sian1
阿沙不魯,a1 sa1 buh4 luh4
阿桑,a1 sang2
阿西,a1 se1
阿舍,a1 sia3
阿舍囝,a1 sia3 gnia2
阿嫂,a1 so2
亞太,a1 tai3
亞運,a1 un7
腌臢,a1 za1
阿姊,a1 ze2
阿姊,a1 zi2
阿叔,a1 zik4
阿叔仔,a1 zik4 a2
阿嬸,a1 zim2
亞洲,a1 ziu1
阿祖,a1 zoo2
仔,a2
啞,a2
猶,a2
猶未,a2 bbe7
猶未,a2 bbue7
猶閣,a2 goh4
猶閣咧,a2 goh4 deh4
猶毋過,a2 m7 go3
猶是,a2 si7
也,a7
也好,a7 ho2
也是,a7 si7
仔,ah4
啊,ah4
壓,ah4
抑,ah4
押,ah4
猶,ah4
矣,ah4
鴨,ah4
鴨仔,ah4 a2
鴨仔癉,ah4 a2 dan1
鴨仔囝,ah4 a2 gnia2
押後,ah4 ao7
壓霸,ah4 ba3
猶未,ah4 bbe7
鴨咪仔,ah4 bbi5 a2
壓味,ah4 bbi7
鴨母,ah4 bbo2
鴨母喙,ah4 bbo2 cui3
鴨母蹄,ah4 bbo2 de5
抑無,ah4 bbo5
鴨母,ah4 bbu2
鴨母喙,ah4 bbu2 cui3
鴨母蹄,ah4 bbu2 de5
猶未,ah4 bbue7
鴨鵤,ah4 gak4
猶閣,ah4 goh4
猶閣咧,ah4 goh4 deh4
鴨羶,ah4 hian3
鴨雄仔,ah4 hing5 a2
鴨雄仔聲,ah4 hing5 a2 snia1
鴨卵,ah4 lnng7
猶毋過,ah4 m7 go3
押送,ah4 sang3
抑是,ah4 si7
猶是,ah4 si7
鴨鯗,ah4 sniu2
押韻,ah4 un7
鴨掌,ah4 ziang2
鴨掌,ah4 zniu2
抑,ah8
曷,ah8
盒,ah8
盒仔,ah8 a2
曷著,ah8 dioh8
曷使,ah8 sai2
抑是,ah8 si7
哀,ai1
哎,ai1
埃,ai1
挨,ai1
哀爸叫母,ai1 be7 gio3 bbo2
哀爸叫母,ai1 be7 gio3 bbu2
哀求,ai1 giu5
哎喲喂,ai1 io7 ue5
哀傷,ai1 siong1
哀怨,ai1 uan3
藹,ai2
噯,ai3
愛,ai3
曖,ai3
隘,ai3
噯仔,ai3 a2
曖昧,ai3 bbnai7
愛嬌,ai3 giao1
愛國,ai3 gok4
愛護,ai3 hoo7
愛哭,ai3 kao3
愛睏,ai3 kun3
愛睏藥仔,ai3 kun3 ioh8 a2
隘寮下,ai3 liao5 e7
隘寮溪,ai3 liao5 ke1
愛人,ai3 lin5
愛人仔,ai3 lin5 a2
愛心,ai3 sim1
愛惜,ai3 sioh4
愛媠,ai3 sui2
愛情,ai3 zing5
愛人,ai3 zzin5
愛人仔,ai3 zzin5 a2
哎,aih4
噯,aih4
握,ak4
沃,ak4
齷,ak4
沃肥,ak4 bui5
握手,ak4 ciu2
沃澹,ak4 dam5
沃雨,ak4 hoo7
沃花,ak4 hue1
齷齪,ak4 zak4
沃水,ak4 zui2
庵,am1
掩,am1
罨,am1
諳,am1
醃,am1
闇,am1
𧌄,am1
𧌄蜅蠐,am1 boo1 ze5
醃缸,am1 gng1
掩咯雞,am1 gok8 ge1
掩咯雞,am1 gok8 gue1
庵古坑,am1 goo2 kne1
醃瓜,am1 gue1
掩崁,am1 kam3
泔,am2
黯,am2
泔糜仔,am2 bbe5 a2
泔糜仔,am2 bbnuai5 a2
泔糜仔,am2 bbnue5 a2
暗,am3
暗安,am3 an1
暗班,am3 ban1
暗房,am3 bang5
暗眠摸,am3 bbin5 bbong1
暗暝,am3 bbne5
暗暝,am3 bbni5
暗漠漠,am3 bbok8 bbok8
暗飯,am3 bng7
暗步,am3 boo7
暗淡,am3 dam7
暗袋仔,am3 de7 a2
暗中,am3 diong1
