亞洲,A chiu
阿公店,A kong tiàm
阿公店溪,A kong tiàm khe
阿猴,A kâu
阿蓮區,A lian khu
阿嗹社,A lian siā
阿里關,A lí koan
阿里港,A lí káng
阿里壟,A lí lóng
阿里山,A lí san
阿里山鄉,A lí san hiong
阿里山線,A lí san sòaⁿ
亞東醫院,A tang Pēⁿ īⁿ
亞東醫院,A tang Pīⁿ īⁿ
亞太,A thài
亞東醫院,A tong Pēⁿ īⁿ
亞東醫院,A tong Pīⁿ īⁿ
阿罩霧,A tà bū
亞運,A ūn
庵古坑,Am kó͘ kheⁿ
安,An
安樂區,An lo̍k khu
安南區,An lâm khu
安平區,An pêng khu
安平鎮,An pêng tìn
安通,An thong
安定區,An tēng khu
翁,Ang
歐,Au
歐盟,Au bêng
歐陽,Au iông
歐式,Au sek
肉粽節,Bah chàng cheh
肉粽節,Bah chàng choeh
目加溜,Ba̍k ka liu
木屐寮,Ba̍k kia̍h liâu
木柵,Ba̍k sa
木柵動物園,Ba̍k sa Tōng bu̍t hn̂g
麥,Be̍h
麥寮鄉,Be̍h liâu hiong
美濃溪,Bi long khe
美濃區,Bi long khu
苗,Biâu
苗栗,Biâu le̍k
苗栗市,Biâu le̍k chhī
苗栗縣,Biâu le̍k koān
滿州鄉,Boán chiu hiong
莫,Bo̍h
穆,Bo̍k
莫,Bo̍k
木星,Bo̍k chheⁿ
木星,Bo̍k chhiⁿ
木瓜村,Bo̍k koe chhoan
木瓜溪,Bo̍k koe khe
木瓜山,Bo̍k koe soaⁿ
艋舺,Báng kah
萬華,Báng kah
蚊蟀,Báng sut
貓公,Bâ kang
貓公,Bâ káng
貓里,Bâ lí
麻里折口,Bâ lí chek kháu
貓里,Bâ lî
貓羅溪,Bâ lô khe
眉溪,Bâi khe
蠻蠻,Bân bân
貓羅溪,Bâu lô khe
馬,Bé
名間鄉,Bêng kan hiong
明德,Bêng tek
米,Bí
美籍,Bí che̍k
美洲,Bí chiu
美方,Bí hong
美金,Bí kim
美國仙丹,Bí kok sian tan
美國時間,Bí kok sî kan
美國塗豆,Bí kok thô͘ tāu
美規,Bí kui
美軍,Bí kun
美麗島,Bí lē tó
美式,Bí sek
美商,Bí siong
美術館,Bí su̍t koán
閔,Bín
彌濃,Bî long
彌陀區,Bî lô khu
彌陀港,Bî lô káng
民壯圍,Bîn chòng ûi
民雄,Bîn hiông
民雄鄉,Bîn hiông hiong
民國,Bîn kok
民權西路,Bîn koân se lō͘
牡丹,Bó͘ tan
牡丹鄉,Bó͘ tan hiong
牡丹坑,Bó͘ tan kheⁿ
牡丹社,Bó͘ tan siā
牟,Bô͘
武,Bú
武溜灣,Bú liu oan
武洛溪,Bú lok khe
武洛溪,Bú lo̍k khe
武聖廟,Bú sèng biō
武士林,Bú sū nâ
武塔,Bú thah
巫,Bû
文,Bûn
聞,Bûn
文武廟,Bûn bú biō
文化中心,Bûn hòa Tiong sim
文建會,Bûn kiàn hōe
文山,Bûn san
文山區,Bûn san khu
文德,Bûn tek
萬,Bān
萬巒鄉,Bān bân hiong
萬芳醫院,Bān hong Pēⁿ īⁿ
萬芳醫院,Bān hong Pīⁿ īⁿ
萬芳社區,Bān hong Siā khu
萬和宮,Bān hô kiong
萬華,Bān hôa
萬華區,Bān hôa khu
萬隆,Bān liông
萬巒鄉,Bān loân hiong
萬里溪,Bān lí khe
萬里區,Bān lí khu
萬里橋,Bān lí kiô
萬丹鄉,Bān tan hiong
萬榮,Bān êng
萬榮鄉,Bān êng hiong
望古,Bāng kó͘
網鞍,Bāng oaⁿ
望安鄉,Bāng oaⁿ hiong
孟,Bēng
面冊,Bīn chheh
望古,Bōng kó͘
慕容,Bō͘ iông
茂林區,Bō͘ lîm khu
霧峰區,Bū hong khu
霧臺鄉,Bū tâi hiong
查,Cha
查畝營,Cha bó͘ iâⁿ
齋明寺,Chai bêng sī
曾,Chan
曾文溪,Chan bûn khe
鄒,Chau
沼平,Chau pêng
十分,Cha̍p hūn
十八王公廟,Cha̍p peh ông kong biō
鍾,Cheng
鐘,Cheng
戚,Chhek
清水,Chheng chúi
清水巖,Chheng chúi giâm
清水溪,Chheng chúi khe
清水區,Chheng chúi khu
青山國王廟,Chheng san kok ông biō
清水,Chheng súi
